user_id,video_id,is_click,play_time_ms,duration_ms,profile_stay_time,comment_stay_time,tab,user_active_degree,is_lowactive_period,is_live_streamer,is_video_author,follow_user_num,follow_user_num_range,fans_user_num,fans_user_num_range,friend_user_num,friend_user_num_range,register_days,register_days_range,onehot_feat0,onehot_feat1,onehot_feat2,onehot_feat3,onehot_feat4,onehot_feat5,onehot_feat6,onehot_feat7,onehot_feat8,onehot_feat9,onehot_feat10,onehot_feat11,onehot_feat12,onehot_feat13,onehot_feat14,onehot_feat15,onehot_feat16,onehot_feat17,video_type,visible_status,server_width,server_height
0,5543,0,863,30066,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
88,5543,0,937,30066,0,0,1,0,0,-124,1,143,3,248,3,140,5,1992,6,0,2,10,80,0.0,0,1,10,373,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
327,5543,0,2082,30066,0,0,1,0,0,-124,0,769,7,7,1,4,1,1267,6,1,1,10,169,1.0,0,0,30,368,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
378,5543,0,1720,30066,0,0,1,1,0,-124,1,319,5,4,1,3,1,326,4,1,4,10,274,1.0,0,0,13,183,6,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
629,5543,0,2061,30066,0,0,1,0,0,-124,1,105,3,6,1,3,1,641,5,0,1,29,1318,1.0,0,1,18,292,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
654,5543,0,2148,30066,0,0,1,1,0,-124,1,191,4,231,3,121,5,1347,6,0,4,2,1153,5.0,0,0,14,96,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
691,5543,0,3225,30066,0,0,1,0,0,-124,1,1715,7,6,1,0,0,762,6,1,4,19,573,1.0,0,1,44,121,5,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
700,5543,0,2778,30066,0,0,1,0,0,-124,1,1386,7,13,2,7,2,1898,6,1,4,2,1177,2.0,0,1,8,287,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
782,5543,0,887,30066,0,0,1,2,0,-124,1,1228,7,10,2,7,2,733,6,1,1,10,286,1.0,0,0,15,394,4,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
874,5543,1,52269,30066,0,0,1,0,0,-124,0,46,2,1,1,0,0,801,6,1,3,2,1159,3.0,0,1,21,34,6,4,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
