User_ID,News_ID,label,Category,SubCategory
U479610,N110473,0,sports,football_ncaa
U496095,N73137,0,lifestyle,shop-holidays
U614467,N18258,0,news,newsworld
U498742,N40625,0,sports,football_nfl
U478575,N123462,0,news,newscrime
U405246,N12453,0,lifestyle,lifestylehomeandgarden
U716477,N36009,0,news,newsscienceandtechnology
U657920,N100073,0,lifestyle,lifestyleroyals
U486312,N24735,0,news,newsworld
U51326,N30119,0,news,newsus
U93340,N100941,0,finance,finance-real-estate
U483933,N84430,0,finance,finance-retirement
U650070,N99529,0,finance,finance-retirement
U620625,N76665,1,lifestyle,lifestyleroyals
U253351,N102458,0,lifestyle,shop-holidays
U142080,N7907,0,news,newscrime
U437083,N109344,0,news,newsworld
U395385,N119999,0,lifestyle,voices
U459930,N60135,0,sports,football_nfl
U177376,N1328,0,news,newsworld
U302439,N119932,0,news,newspolitics
U503837,N21033,0,news,newsus
U282027,N44294,0,sports,football_nfl
U717002,N54368,0,news,newsus
U347315,N123362,0,lifestyle,lifestyleroyals
U241688,N59654,0,sports,basketball_ncaa
U275637,N66244,0,news,newsus
U524323,N18356,0,finance,finance-companies
U691532,N67927,0,sports,football_nfl
U419502,N22393,0,news,newscrime
U197416,N18258,0,news,newsworld
U346870,N71626,0,finance,markets
U242902,N21918,0,news,newscrime
U8431,N96470,0,news,newsus
U283287,N20250,0,lifestyle,lifestyledidyouknow
U96644,N51632,0,news,newsgoodnews
U385606,N67265,0,news,newscrime
U328211,N96805,0,sports,basketball_nba
U231984,N64785,0,lifestyle,lifestyleroyals
U251686,N2591,0,lifestyle,lifestyleroyals
U621612,N50852,0,news,newsus
U437362,N24969,0,sports,football_nfl
U373256,N117260,0,finance,finance-career
U77068,N95525,0,lifestyle,shop-holidays
U43068,N45410,0,news,newsus
U586448,N119430,0,sports,football_ncaa
U531640,N116118,0,finance,markets
U382064,N20364,0,lifestyle,awardstyle
U694116,N39770,0,finance,markets
U516583,N76539,0,finance,finance-real-estate
U238052,N40233,0,finance,finance-retirement
U16779,N130174,0,finance,finance-real-estate
U418338,N62800,0,finance,finance-real-estate
U20199,N76677,0,lifestyle,lifestylebuzz
U239870,N28741,0,finance,finance-companies
U608921,N43800,0,news,newsworld
U575857,N95108,0,sports,basketball_ncaa
U138588,N29931,0,news,newspolitics
U115463,N111088,0,news,newsworld
U648727,N125045,0,news,newspolitics
U86965,N103397,0,news,newspolitics
U62116,N127246,0,news,newsworld
U409923,N59301,0,lifestyle,lifestylebeauty
U409666,N92223,0,lifestyle,lifestylebuzz
U557396,N64941,0,finance,finance-companies
U403702,N95834,0,lifestyle,shop-holidays
U507997,N12040,0,sports,football_nfl
U586338,N92438,0,news,newspolitics
U322428,N123362,0,lifestyle,lifestyleroyals
U195496,N86227,0,lifestyle,lifestylesmartliving
U699169,N20281,0,lifestyle,lifestyleroyals
U75843,N122343,0,finance,markets
U255685,N113723,0,sports,soccer
U39455,N122245,0,news,newscrime
U21027,N33030,0,finance,markets
U397237,N79825,0,news,newsworld
U579167,N101265,1,sports,more_sports
U121894,N123683,0,lifestyle,lifestyleroyals
U331361,N14651,0,news,newsus
U435263,N104054,0,news,newscrime
U269431,N22966,0,sports,icehockey_nhl
U92440,N2750,0,news,newsus
U296670,N2750,0,news,newsus
U543535,N96351,0,lifestyle,voices
U270840,N54493,0,sports,football_nfl
U63057,N446,0,news,newsworld
U673057,N123724,0,news,newsus
U451389,N37658,0,finance,finance-companies
U558634,N125253,0,lifestyle,awardstyle
U2953,N109606,0,news,newsus
U39933,N99362,0,news,newsus
U74406,N23721,0,lifestyle,lifestyleroyals
U726836,N122640,0,sports,football_nfl
U55162,N80784,0,lifestyle,awardstyle
U432795,N127648,0,news,newsworld
U33838,N123362,0,lifestyle,lifestyleroyals
U443324,N16403,0,news,newsus
U547563,N29544,0,finance,finance-companies
U514527,N35652,0,news,newsworld
U82958,N84689,0,lifestyle,lifestylecelebstyle
U292486,N121715,0,news,newsworld
U221102,N119838,0,sports,football_nfl
U427997,N10285,0,finance,finance-saving-investing
U243058,N77723,0,sports,basketball_nba
U219228,N87267,1,sports,football_nfl
U405210,N10012,0,lifestyle,lifestylehomeandgarden
U420635,N80577,0,news,newspolitics
U431165,N105407,0,news,newsus
U360152,N84689,0,lifestyle,lifestylecelebstyle
U531123,N49307,0,news,newscrime
U704243,N30899,1,news,newsus
U29381,N81936,0,sports,basketball_ncaa
U507332,N59301,0,lifestyle,lifestylebeauty
U246666,N64957,0,news,newsus
U493309,N58760,0,news,newscrime
U297514,N54015,0,news,newsus
U230794,N69938,0,lifestyle,lifestyleroyals
U302396,N83789,0,news,newsus
U552886,N67870,0,news,newspolitics
U645769,N20990,0,news,newsworld
U487439,N2750,0,news,newsus
U128921,N53018,1,news,newsworld
U404439,N53131,0,news,newspolitics
U482622,N51518,1,sports,football_ncaa
U710003,N125754,0,sports,football_nfl
U520884,N22301,0,sports,basketball_ncaa
U97489,N20990,0,news,newsworld
U706189,N66489,0,news,newsus
U78098,N92438,0,news,newspolitics
U439631,N105407,0,news,newsus
U538027,N80561,0,finance,markets
U236772,N4408,0,news,newsus
U54648,N30086,0,news,newspolitics
U453934,N20849,0,news,newspolitics
U565144,N65533,0,news,newsus
U619349,N20364,0,lifestyle,awardstyle
U484348,N90279,0,news,newsworld
U181128,N28421,0,sports,football_nfl
U66194,N79871,0,news,newsus
U291507,N56153,0,sports,golf
U232504,N37178,0,lifestyle,lifestylebuzz
U659933,N726,0,news,newsus
U673012,N114252,0,news,newscrime
U689015,N36828,0,sports,football_nfl
U614745,N70656,0,sports,football_nfl
U660397,N26703,0,sports,football_nfl
U560718,N19858,0,lifestyle,lifestyleparenting
U49447,N98243,0,sports,baseball_mlb
U622171,N99362,0,news,newsus
U349215,N67363,0,news,newsus
U481543,N51163,0,lifestyle,lifestylebuzz
U272046,N54368,0,news,newsus
U156122,N20250,0,lifestyle,lifestyledidyouknow
U407906,N40093,0,news,newscrime
U523495,N41523,0,news,newsus
U140269,N18190,0,lifestyle,shop-holidays
U533471,N85420,0,news,newsus
U444768,N65417,0,news,newsworld
U161802,N26368,0,news,newscrime
U6687,N39363,0,lifestyle,lifestyleroyals
U6545,N94211,0,news,newscrime
U145435,N34548,0,lifestyle,lifestyleroyals
U582962,N118471,0,news,newscrime
U206078,N63870,0,finance,finance-companies
U271059,N74875,1,news,newscrime
U401554,N48912,0,finance,finance-retirement
U395994,N44889,0,sports,mma
