user_id,item_id,rating,domain,living_place,join_time,time_bin
1691,34964,1,book,北京,2007-07-10,27
2133,96073,1,movie,浙江杭州,2008-01-03,33
2328,98464,1,movie,香港,2009-05-04,49
507,106008,1,movie,山东青岛,2008-12-25,44
1913,96067,1,movie,,2010-10-03,66
1713,87199,0,book,上海,2005-09-30,5
2325,104210,1,movie,辽宁大连,2011-05-01,73
2612,120882,1,movie,北京,2007-12-26,32
2711,9129,1,book,上海,2008-11-14,43
1847,128303,1,movie,天津,2009-10-26,54
1209,41002,1,book,山东济南,2011-10-08,78
2615,80180,0,book,"New York City, United States",2008-09-19,41
1464,114078,0,movie,北京,2009-09-04,53
893,99715,1,movie,"台北, 台湾",2012-03-24,83
1583,117846,0,movie,上海,2006-04-21,12
1595,30766,0,book,"Milano, Italy",2006-10-16,18
1236,103527,0,movie,北京,2005-08-19,4
1890,129647,1,movie,"New York City, United States",2007-08-04,28
1494,112012,1,movie,北京,2011-06-10,74
447,98783,1,movie,浙江宁波,2008-01-01,33
1885,104770,1,movie,北京,2006-01-08,9
1291,127468,1,movie,上海,2009-02-15,46
2629,128454,1,movie,"London, United Kingdom",2008-11-04,43
1449,210461,0,music,"昆山, 苏州",2010-08-14,64
2162,103034,0,movie,北京,2010-04-25,60
884,97993,0,movie,浙江绍兴,2012-02-25,82
1822,8470,1,book,北京,2008-01-30,33
2688,127353,1,movie,北京,2009-04-14,48
1376,104505,1,movie,广东广州,2006-03-09,11
21,124713,1,movie,北京,2014-11-18,115
1851,121511,1,movie,浙江杭州,2007-01-05,21
1995,104567,1,movie,山东青岛,2010-09-01,65
129,128337,1,movie,江苏南京,2015-10-21,126
2343,29312,1,book,"Hannover, Germany",2011-07-25,75
1576,135721,1,music,上海,2007-06-23,26
21,95905,1,movie,北京,2014-11-18,115
2490,98047,0,movie,广东广州,2010-02-24,58
1621,128567,0,movie,北京,2008-11-17,43
2288,51786,1,book,上海,2011-05-24,73
2366,96013,1,movie,上海,2006-06-18,14
923,105160,1,movie,山东济南,2012-06-20,86
2625,121698,1,movie,"Los Angeles, United States",2007-01-01,21
2436,15548,1,book,"Los Angeles, United States",2007-08-29,28
728,96713,1,movie,上海,2011-04-11,72
1808,40870,1,book,广东广州,2009-12-23,56
2151,143314,1,music,天津,2011-08-01,76
92,177731,0,music,上海,2015-06-14,122
362,99651,1,movie,山东青岛,2017-06-13,146
2543,160402,1,music,广东深圳,2008-12-10,44
2712,159571,1,music,上海,2007-11-29,31
65,96019,1,movie,广东深圳,2006-08-21,16
2498,45010,1,book,广东广州,2007-12-27,32
625,110196,0,movie,北京,2009-06-22,50
1177,112426,1,movie,广东广州,2006-12-29,20
518,96025,1,movie,广东广州,2009-01-16,45
1515,101263,0,movie,"Stockholm, Sweden",2009-07-09,51
815,127315,1,movie,北京,2011-10-08,78
2606,125820,1,movie,安徽六安,2008-07-09,39
535,113876,1,movie,北京,2010-03-06,59
2128,102162,1,movie,广东广州,2008-03-19,35
1464,112244,0,movie,北京,2009-09-04,53
2166,97823,1,movie,北京,2009-03-08,47
466,18194,0,book,上海,2008-06-09,38
1861,115313,0,movie,浙江杭州,2009-06-27,50
1206,123448,0,movie,河南郑州,2005-10-04,6
111,113421,0,movie,浙江杭州,2006-11-18,19
1738,65910,1,book,河南洛阳,2011-11-10,79
1263,46506,1,book,"Stockholm, Sweden",2010-02-20,58
1964,83040,0,book,上海,2009-11-19,55
527,123031,0,movie,辽宁沈阳,2010-02-23,58
1722,124029,1,movie,"台北, 台湾",2009-06-01,50
241,129259,0,movie,北京,2016-07-25,135
2048,104638,1,movie,北京,2007-05-21,25
1647,101261,1,movie,北京,2005-12-31,8
1563,202008,1,music,北京,2008-04-28,36
718,103163,1,movie,北京,2011-03-29,71
2496,100864,1,movie,北京,2007-02-22,22
1632,116437,0,movie,北京,2008-07-23,39
2120,96767,1,movie,上海,2012-02-01,82
1445,111224,1,movie,云南昆明,2009-02-01,46
2712,102485,0,movie,上海,2007-11-29,31
2421,125608,0,movie,北京,2007-06-01,26
2159,95931,0,movie,北京,2009-05-27,49
2270,102992,1,movie,"Sydney, Australia",2007-06-14,26
2258,121884,1,movie,浙江嘉兴,2012-11-01,91
1583,137427,1,music,上海,2006-04-21,12
2262,98572,1,movie,浙江杭州,2011-06-26,74
1782,116573,1,movie,北京,2006-10-31,18
2519,125479,1,movie,"Athínai, Greece",2011-03-07,71
568,105277,1,movie,四川成都,2010-05-06,61
2676,6212,0,book,,2010-07-11,63
1929,102938,1,movie,新疆喀什,2007-10-29,30
1062,128180,0,movie,黑龙江哈尔滨,2013-07-01,99
511,109273,0,movie,"London, United Kingdom",2009-01-02,45
1210,117235,0,movie,上海,2008-02-05,34
2712,127730,1,movie,上海,2007-11-29,31
1054,124981,0,movie,上海,2013-06-15,98
2059,110278,0,movie,重庆,2006-01-09,9
991,164073,1,music,湖北武汉,2012-11-28,91
877,184214,1,music,北京,2012-02-03,82
1048,99580,0,movie,北京,2013-05-19,97
1920,110840,1,movie,上海,2014-09-10,113
1252,128629,0,movie,,2010-11-23,67
2485,127810,1,movie,云南昆明,2006-08-02,16
1128,95979,1,movie,广东广州,2014-04-15,108
2548,31696,1,book,陕西西安,2008-10-04,42
2362,24539,1,book,"Ottawa, Canada",2007-12-10,32
